
 time | altitude |  velocity | accel_bias | alt (bmp) | vert_accel |
    21.2s     |523.4093m      | 0.0843m/s    | 0.0120m/s^2  | 523.1127m      | 0.0218m/s^2  |
    21.3s     |523.4108m      | 0.0852m/s    | 0.0120m/s^2  | 523.1722m      | 0.0406m/s^2  |
    21.4s     |523.4134m      | 0.0859m/s    | 0.0121m/s^2  | 523.1872m      | 0.0210m/s^2  |
    21.5s     |523.4167m      | 0.0856m/s    | 0.0121m/s^2  | 523.2019m      | 0.0165m/s^2  |
    21.6s     |523.4194m      | 0.0853m/s    | 0.0122m/s^2  | 523.1722m      | 0.0160m/s^2  |
    21.7s     |523.4215m      | 0.0847m/s    | 0.0122m/s^2  | 523.1722m      | 0.0215m/s^2  |
    21.8s     |523.4234m      | 0.0841m/s    | 0.0123m/s^2  | 523.1571m      | 0.0167m/s^2  |
    21.9s     |523.4247m      | 0.0835m/s    | 0.0123m/s^2  | 523.1277m      | 0.0180m/s^2  |
    22.0s     |523.4252m      | 0.0817m/s    | 0.0124m/s^2  | 523.1127m      |-0.0054m/s^2  |
    22.1s     |523.4251m      | 0.0793m/s    | 0.0124m/s^2  | 523.1281m      |-0.0020m/s^2  |
    22.2s     |523.4248m      | 0.0779m/s    | 0.0125m/s^2  | 523.0832m      | 0.0087m/s^2  |
    22.3s     |523.4236m      | 0.0765m/s    | 0.0126m/s^2  | 523.0535m      | 0.0130m/s^2  |
    22.4s     |523.4228m      | 0.0757m/s    | 0.0126m/s^2  | 523.1034m      | 0.0180m/s^2  |
    22.5s     |523.4217m      | 0.0746m/s    | 0.0127m/s^2  | 523.0737m      | 0.0154m/s^2  |
    22.6s     |523.4200m      | 0.0737m/s    | 0.0128m/s^2  | 523.0586m      | 0.0135m/s^2  |
    22.7s     |523.4195m      | 0.0728m/s    | 0.0129m/s^2  | 523.1089m      | 0.0231m/s^2  |
    22.8s     |523.4192m      | 0.0724m/s    | 0.0129m/s^2  | 523.1236m      | 0.0135m/s^2  |
    22.9s     |523.4191m      | 0.0719m/s    | 0.0130m/s^2  | 523.1390m      | 0.0197m/s^2  |
    23.0s     |523.4204m      | 0.0714m/s    | 0.0130m/s^2  | 523.2310m      | 0.0093m/s^2  |
    23.1s     |523.4218m      | 0.0707m/s    | 0.0131m/s^2  | 523.1982m      | 0.0136m/s^2  |
    23.2s     |523.4232m      | 0.0707m/s    | 0.0131m/s^2  | 523.1982m      | 0.0271m/s^2  |
    23.3s     |523.4249m      | 0.0710m/s    | 0.0132m/s^2  | 523.2132m      | 0.0212m/s^2  |
    23.4s     |523.4264m      | 0.0704m/s    | 0.0132m/s^2  | 523.1835m      | 0.0124m/s^2  |
    23.5s     |523.4268m      | 0.0701m/s    | 0.0133m/s^2  | 523.1537m      | 0.0206m/s^2  |
    23.6s     |523.4255m      | 0.0695m/s    | 0.0133m/s^2  | 523.0887m      | 0.0138m/s^2  |
    23.7s     |523.4240m      | 0.0683m/s    | 0.0134m/s^2  | 523.1034m      | 0.0129m/s^2  |
    23.8s     |523.4231m      | 0.0674m/s    | 0.0134m/s^2  | 523.1185m      | 0.0100m/s^2  |
    23.9s     |523.4220m      | 0.0662m/s    | 0.0135m/s^2  | 523.1034m      | 0.0066m/s^2  |
    24.0s     |523.4202m      | 0.0644m/s    | 0.0136m/s^2  | 523.0887m      | 0.0041m/s^2  |
    24.1s     |523.4193m      | 0.0628m/s    | 0.0136m/s^2  | 523.1390m      | 0.0126m/s^2  |
